	Phenotype_ID	Description	q	nq	tot	Phenotype_score
1	HP:0011925	Decreased activity of mitochondrial ATP synthase complex	1.0	0.1	1	14.204189024
2	HP:0003535	3-Methylglutaconic aciduria	1.0	10.0	11	7.56033283421
3	HP:0003128	Lactic acidosis	1.0	148.0	149	3.67280756347
4	HP:0009830	Peripheral neuropathy	1.0	160.0	161	3.56033283421
5	HP:0001639	Hypertrophic cardiomyopathy	1.0	205.0	206	3.20278082959
6	HP:0001249	Intellectual disability	1.0	1144.0	1145	0.722389592321
7	HP:0000006	Autosomal dominant inheritance	1.0	1391.0	1392	0.440354224558
8	HP:0012510	Extra-axial cerebrospinal fluid accumulation	0.1	1.0	1	0.0
9	HP:0005967	Mixed respiratory and metabolic acidosis	0.1	1.0	1	0.0
10	HP:0012511	Temporal optic disc pallor	0.1	1.0	1	0.0
11	HP:0008176	Neonatal unconjugated hyperbilirubinemia	0.1	1.0	1	0.0
12	HP:0004902	Congenital lactic acidosis	0.1	1.0	1	0.0
13	HP:0012517	Reduced catalase activity	0.1	1.0	1	0.0
14	HP:0006439	Radioulnar dislocation	0.1	1.0	1	0.0
15	HP:0006438	Enlargement of the distal femoral epiphysis	0.1	1.0	1	0.0
16	HP:0006432	Trapezoidal distal femoral condyles	0.1	1.0	1	0.0
17	HP:0006431	Proximal femoral metaphyseal abnormality	0.1	1.0	1	0.0
18	HP:0004848	Ph-positive acute lymphoblastic leukemia	0.1	1.0	1	0.0
19	HP:0004940	Generalized arterial calcification	0.1	1.0	1	0.0
20	HP:0006437	Disproportionate prominence of the femoral medial condyle	0.1	1.0	1	0.0
21	HP:0030868	Monorchism	0.1	1.0	1	0.0
22	HP:0005466	Hypoplasia of the frontal bone	0.1	1.0	1	0.0
23	HP:0025152	Poor visual behavior for age	0.1	1.0	1	0.0
24	HP:0007352	Cerebellar calcifications	0.1	1.0	1	0.0
25	HP:0004594	Hump-shaped mound of bone in central and posterior portions of vertebral endplate	0.1	1.0	1	0.0
26	HP:0004592	Thoracic platyspondyly	0.1	1.0	1	0.0
27	HP:0007827	Nodular corneal dystrophy	0.1	1.0	1	0.0
28	HP:0004591	Disc-like vertebral bodies	0.1	1.0	1	0.0
29	HP:0005422	Absence of CD8-positive T cells	0.1	1.0	1	0.0
30	HP:0005423	Dysfunctional alternative complement pathway	0.1	1.0	1	0.0
31	HP:0003993	Broad ulna	0.1	1.0	1	0.0
32	HP:0040215	Abnormal circulating insulin level	0.1	1.0	1	0.0
33	HP:0011740	Glucocortocoid-insensitive primary hyperaldosteronism	0.1	1.0	1	0.0
34	HP:0040216	Hypoinsulinemia	0.1	1.0	1	0.0
35	HP:0030865	Large elbow	0.1	1.0	1	0.0
